,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AHCY,0.407747805,-1.242034124,0.285001256,-4.357995267,1.31E-05,0.000155034
DYNLRB1,0.334480421,-0.889030525,0.29890147,-2.974326368,0.002936326,0.014617415
EIF6,0.423088758,-0.921766993,0.293585714,-3.139686125,0.001691289,0.009377739
MYL9,0.241868016,-1.387324511,0.476195125,-2.913353029,0.003575701,0.017054392
NNAT,1.064093826,2.513165808,0.250623217,10.02766557,1.15E-23,1.25E-21
TOP1,0.730316903,-0.64370014,0.261515075,-2.461426517,0.013838574,0.049858691
YWHAB,1.205661891,-1.082676534,0.209498795,-5.167936807,2.37E-07,4.20E-06
CSE1L,0.436229372,-1.035827246,0.347201948,-2.983356661,0.002851055,0.014296826
PFDN4,0.465941329,-0.972115462,0.259567839,-3.745130616,0.0001803,0.001451675
PSMA7,1.373222103,-0.906935809,0.185344542,-4.89324261,9.92E-07,1.58E-05
ADRM1,0.289198718,-0.882527522,0.354320057,-2.49076366,0.012746888,0.046783262
CNN2,0.341282002,-0.842544773,0.299077419,-2.817146056,0.004845249,0.021687574
POLR2E,0.354895742,-0.822089144,0.294784245,-2.788782496,0.005290658,0.023241769
ATP5F1D,0.480704513,-0.726535122,0.242767187,-2.99272373,0.002764999,0.013958786
CIRBP,0.76122558,0.721106151,0.236696916,3.046538007,0.002314932,0.011951732
DAZAP1,0.370156165,-1.183200768,0.306465389,-3.860797375,0.000113018,0.000982625
PLEKHJ1,0.295070768,-1.07862078,0.339382658,-3.178184728,0.001482003,0.008472455
OAZ1,1.431560532,-0.871494898,0.192602203,-4.524843871,6.04E-06,8.14E-05
LSM7,0.760521471,-1.324774958,0.257488648,-5.144983941,2.68E-07,4.72E-06
TIMM13,0.922539575,-1.945767385,0.231495069,-8.405221733,4.27E-17,2.93E-15
EEF2,2.983481693,-0.404805975,0.142997585,-2.830858823,0.004642321,0.021112933
HNRNPM,1.503080531,-0.800733154,0.187866901,-4.262236454,2.02E-05,0.000222606
UBL5,0.847042185,-0.88468878,0.216022204,-4.095360398,4.22E-05,0.000418836
DNMT1,0.583136413,-0.869859744,0.28328772,-3.070587539,0.00213638,0.011168052
CDC37,0.417222196,-0.961189521,0.349892926,-2.747096181,0.00601255,0.02560161
CALR,0.862925757,-1.231061823,0.288464404,-4.267638596,1.98E-05,0.000218934
GADD45GIP1,0.841937258,-1.466499198,0.249088087,-5.887472243,3.92E-09,9.01E-08
C19orf53,0.582911853,-1.374318662,0.24800028,-5.541601249,3.00E-08,6.10E-07
NDUFB7,0.549138328,-0.882165023,0.275381251,-3.203431684,0.001358003,0.007835111
NR2F6,0.333741129,-1.086839239,0.330719321,-3.286288921,0.001015168,0.006245654
MRPL34,0.214580206,-1.016594673,0.395425329,-2.570889112,0.01014378,0.038837959
FKBP8,0.452266269,-0.698707199,0.275494959,-2.536188691,0.011206633,0.04201745
UBA52,2.484361778,-0.441144247,0.130620428,-3.377299038,0.000732014,0.004785806
UQCRFS1,0.546900746,-1.24737469,0.278281135,-4.482426339,7.38E-06,9.53E-05
URI1,0.374590932,-0.8793009,0.322094065,-2.729950646,0.006334381,0.026568324
UBA2,0.675056701,-0.758484781,0.265162585,-2.860451749,0.004230379,0.019508047
DMKN,0.420497208,-1.430340701,0.284677386,-5.024426839,5.05E-07,8.49E-06
TMEM147,0.312858924,-1.088531675,0.339635888,-3.204996039,0.001350643,0.007810649
COX6B1,0.798429661,-0.636462917,0.219074227,-2.905238672,0.003669732,0.017436447
POLR2I,0.421259009,-0.995050948,0.27394137,-3.632350046,0.000280852,0.002124631
LINC00665,0.321134771,-1.100187755,0.423497975,-2.59785836,0.009380718,0.036530821
PSMD8,0.498729137,-1.003417752,0.288935955,-3.472803344,0.000515053,0.003543109
EIF3K,0.827739412,-0.988326697,0.217651591,-4.540865939,5.60E-06,7.62E-05
RPS16,5.249305052,-0.248714815,0.093395787,-2.663019635,0.00774429,0.031290506
PSMC4,0.288438805,-1.0237218,0.327218577,-3.128556485,0.001756672,0.009646289
RPS19,10.25362299,0.311876101,0.104552726,2.982955231,0.002854797,0.014296826
RABAC1,0.312291898,-0.935851386,0.319526131,-2.928872778,0.003401936,0.016444881
TOMM40,0.459793083,-1.353212679,0.358672152,-3.772840105,0.0001614,0.001320735
APOE,1.121258096,-2.786344636,0.359078604,-7.759706664,8.51E-15,4.43E-13
VASP,0.281219709,-1.168820905,0.408346203,-2.862328329,0.00420541,0.019428684
SNRPD2,0.922319679,-0.625146729,0.19219483,-3.252671941,0.001143254,0.00688968
TMEM160,0.245309434,-1.053978767,0.353169057,-2.9843463,0.002841849,0.014289138
SELENOW,0.945413016,-1.316871296,0.224626797,-5.862485289,4.56E-09,1.04E-07
BAX,0.311877905,-1.355845216,0.321006976,-4.223725083,2.40E-05,0.000260186
FTL,5.589504583,-1.384129077,0.109175928,-12.6779694,7.83E-37,1.80E-34
RPS11,4.391841309,0.442517834,0.128233317,3.450880339,0.000558761,0.003802006
PRMT1,1.304232063,-0.70670105,0.227179665,-3.110758396,0.001866076,0.010070373
PPP2R1A,0.397214141,-0.959221895,0.343126533,-2.795534015,0.005181405,0.022882254
RPS9,4.876693374,-0.246269089,0.097105022,-2.536110748,0.011209128,0.04201745
TTYH1,0.297245903,1.022329199,0.324976875,3.145852149,0.001656037,0.009256064
RPL28,5.457779033,-0.505224476,0.099606195,-5.072219399,3.93E-07,6.74E-06
UBE2S,1.082388476,-1.023066137,0.265621918,-3.851587796,0.000117354,0.001016728
