"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HES4",1.68641114982578,0.518419221417955,0.152041341032619,3.40972539374493,0.000650283195911355,0.00593925318932371
"HES5",1.8397212543554,0.509824085026079,0.165385522747701,3.08264034575641,0.00205172957415574,0.0154144457361571
"RPL22",5.90243902439024,-0.532750703319615,0.138161078310983,-3.85601147466772,0.000115252080111731,0.00135566714434456
"ENO1",3.52961672473868,-0.800030657400304,0.137983060348135,-5.79803531956608,6.70963229548406e-09,2.4416771275285e-07
"KDM1A",1.67247386759582,-0.450038286641903,0.136469932865308,-3.29771017830044,0.000974766909848217,0.00827482221979317
"RPL11",11.4146341463415,-0.635921479405843,0.157748151468725,-4.03124520626741,5.54821221691553e-05,0.000713910842718025
"STMN1",8.79790940766551,1.04785237763197,0.144832066781326,7.23494734915344,4.65709775419828e-13,3.09896590557937e-11
"SH3BGRL3",2.15331010452962,0.491409528332851,0.136854303155102,3.59074955630675,0.000329728352629714,0.00336814619857282
"LIN28A",1.58188153310105,-1.3377549746325,0.141190229307023,-9.4748410084632,2.67167255521939e-21,5.65665943736905e-19
"HMGN2",4.58536585365854,0.431568462177389,0.162606774917783,2.65406199954214,0.00795292128728417,0.0490009356563091
"MARCKSL1",6.80836236933798,0.544313922459465,0.136137906832475,3.99825394061093,6.38114703235313e-05,0.000799015668728518
"CLSPN",1.30662020905923,-0.410796655567621,0.154702569703426,-2.65539645757108,0.00792152480130441,0.0490009356563091
"THRAP3",1.7212543554007,-0.401559808993434,0.135441334663606,-2.96482465999602,0.0030285549098385,0.0219735339097005
"POU3F1",1.27526132404181,-0.424323026630744,0.156904455626682,-2.70434019821798,0.00684401799460463,0.0439110686210308
"SLC2A1",1.34843205574913,-0.500026420593173,0.151833365298508,-3.29325783967251,0.000990336102572175,0.00835685790902389
"RPS8",12.7038327526132,-0.616628453644026,0.150786917622392,-4.08940286973845,4.32485122410309e-05,0.000575575914339206
"NASP",3.28919860627178,-0.573466616363279,0.125230471674923,-4.57928975826189,4.66557488927645e-06,7.93147731176996e-05
"UQCRH",3.17421602787456,-0.477306337253105,0.130094187159468,-3.66892900962615,0.00024356869615104,0.00260216281346685
"ELAVL4",1.38675958188153,0.662171179253213,0.169608027791823,3.9041264017642,9.4566349499346e-05,0.00115311532975904
"L1TD1",1.32752613240418,-0.920389781041685,0.152600657504844,-6.03136183087854,1.62583699408909e-09,6.31095726538915e-08
"SERBP1",3.32752613240418,-0.401734985152511,0.117521327416775,-3.41840067656662,0.00062990303212608,0.00577576441662063
"GNG5",2.91289198606272,0.36729707914153,0.136540647761158,2.69002004285214,0.00714477277494806,0.0453410784546431
"RPL5",10.4947735191638,-0.752736452077796,0.152313631460297,-4.94201631765316,7.73187427570716e-07,1.60781564179661e-05
"CNN3",1.96864111498258,-0.48291869117186,0.127238245313866,-3.79538942855285,0.000147411883726841,0.00167474281560885
"PHGDH",1.87108013937282,-0.767196619919875,0.131309752357309,-5.84264767960453,5.13776044573678e-09,1.92997485130983e-07
"TXNIP",1.68641114982578,-0.549963297595357,0.135990083663948,-4.04414265200688,5.25149387992957e-05,0.000687119620581796
"MLLT11",2.59581881533101,1.19952618310024,0.163322796523107,7.34451165811707,2.06511693810396e-13,1.65850253408418e-11
"CELF3",1.25783972125436,0.487665284863891,0.172046475497659,2.83449738480999,0.00458978336037859,0.0311650304557485
"S100A11",1.49825783972125,0.633829285871321,0.190561140388169,3.32612034426444,0.00088063897784494,0.0076245657226798
"RPS27",12.1045296167247,-0.511769021805393,0.15876513823962,-3.2234344861842,0.00126663268770829,0.010314641712142
"FDPS",2.12543554006969,0.362876147179879,0.132535910339242,2.73794586124661,0.00618242525751845,0.0401791178481259
