"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPL14",6.56521739130435,-0.560971786328619,0.196956503022049,-2.84820139330874,0.00439670917808592,0.0425931201627073
"NKTR",1.68944099378882,-0.591383688157193,0.200598996975945,-2.94808895892989,0.00319745038791454,0.033040320675117
"SMARCC1",2.45341614906832,-0.56316745162441,0.170681683718971,-3.29951896040392,0.000968506848516137,0.0121419424758825
"RPL29",9.8944099378882,-0.926954930221478,0.213342050247282,-4.34492369951004,1.39324081638816e-05,0.00053988081635041
"RPL24",8.85714285714286,-0.726916928697716,0.21400927806804,-3.39666081424099,0.000682134624722504,0.00953311094386778
"CNBP",2.09937888198758,-0.505381177193694,0.180452904698174,-2.80062644621318,0.00510035214471844,0.0480447536284251
"H1FX",3.07453416149068,-0.847258087187181,0.181177044067548,-4.67640970492541,2.91941057974151e-06,0.00016255086561575
"CDV3",1.78260869565217,-0.723122855820156,0.199985263242595,-3.61588071088499,0.000299328201552291,0.00495489887035589
"SOX2",3.6832298136646,-1.03256732536776,0.174163589154456,-5.92872098227164,3.05303344628745e-09,3.71815858994293e-07
"EIF4A2",2.2360248447205,-0.490604463058165,0.175535935249313,-2.79489474540562,0.0051916615144492,0.0486361696820653
"RPL35A",9.63975155279503,-0.668535783426616,0.2189159920084,-3.05384625989756,0.00225927829272599,0.0250603302422607
"RPL9",11.2608695652174,-0.90568877252941,0.221287012552434,-4.09282389455552,4.26151372263726e-05,0.0012527380857063
"CCNI",3.6832298136646,-0.595451059724877,0.162788962491514,-3.65780978397671,0.000254379715138416,0.00442568790113264
"HNRNPD",3.18633540372671,-0.501292131980449,0.16775211905014,-2.98829090695788,0.0028054238692405,0.0300833188494028
"MAPK10",1.72049689440994,-0.681035527797166,0.202127735182534,-3.3693324035029,0.000753504990181262,0.0102778080660724
"RPL34",11.3788819875776,-0.833064125779572,0.221863621781841,-3.75484777129766,0.000173446863374917,0.00328585446726926
"SLC7A11",1.39751552795031,-0.663876808173759,0.222021370630174,-2.990148228927,0.00278842096949255,0.0300833188494028
"RPS3A",15.832298136646,-0.983569583261769,0.2240567255325,-4.389823964999,1.13442456795849e-05,0.000460522354373625
"SFRP2",1.82608695652174,-0.87673715617862,0.203522696663174,-4.30781023715307,1.64878743993544e-05,0.000611126648932594
"RPL37",12.2484472049689,-0.744761071981909,0.205081021210167,-3.63154555983354,0.000281728907405794,0.00480347787126878
"BTF3",4.17391304347826,-0.60032371264514,0.20145864376721,-2.97988560539913,0.00288356046165294,0.0303485838711004
"RPS23",15.7888198757764,-0.859701520285164,0.224538494052501,-3.82874893640353,0.000128796312934099,0.00274497141940798
"LIX1",1.53416149068323,-0.811484283811041,0.217473663075588,-3.73141405876349,0.000190407968201362,0.00349081275035831
"RPS14",15.8695652173913,-1.0275708685718,0.226507121671356,-4.53659408582626,5.71699908049057e-06,0.000278499526635327
"RACK1",10.0372670807453,-0.828773561464686,0.21407894278013,-3.87134554525466,0.000108236230980869,0.00236593299772283
"TUBB2B",3.52173913043478,0.772534917575132,0.179039255455575,4.31489125448704,1.59681488351278e-05,0.000605015416975397
"SOX4",4.02484472049689,-0.73279165871531,0.172905187176947,-4.2381126366405,2.25406682565667e-05,0.000768636787548924
"RPS18",18.9751552795031,-1.12181796513905,0.232962652368872,-4.81544124661997,1.46874975235021e-06,0.000104342430323213
"HMGA1",5.93788819875776,-0.501870098218242,0.175132450998846,-2.86566022091216,0.0041614063142305,0.0414923845951053
"RPS10",4.56521739130435,-0.80660569716669,0.204829537882326,-3.93793642023486,8.21853630200656e-05,0.00209143349177928
"RPL10A",9.88819875776398,-0.854790660603718,0.20772617609245,-4.11498770488745,3.87200053342177e-05,0.00115820366833055
"HSP90AB1",8.35403726708075,-0.706812135298958,0.190330166785574,-3.71361065476947,0.000204323063858167,0.00362886274873099
"DST",2,-0.768415577662511,0.194359895587543,-3.95357064449751,7.69935176143323e-05,0.00198899920503692
"EEF1A1",33.4534161490683,-0.909839150241839,0.213778258792518,-4.25599476476643,2.08121576223887e-05,0.000754994228641973
"PHIP",2.11180124223602,-0.895605672900874,0.191618884428058,-4.67389044443123,2.95547028392272e-06,0.00016255086561575
"PNISR",2.43478260869565,-0.856323300835627,0.182610500322001,-4.68934316113067,2.74083415005462e-06,0.000161455798482041
"RPS12",17.9006211180124,-0.808983760212164,0.233294240515925,-3.46765423108223,0.00052502236252722,0.00771692351818025
"AKAP9",1.79503105590062,-0.684128726263671,0.198116779031527,-3.45315893791512,0.000554062447732289,0.00807415789216712
"PTN",3.3416149068323,-1.86574149739152,0.221664854311273,-8.41694775289704,3.86419907257041e-17,6.58845941873256e-14
"TMSB4X",6.14906832298137,0.85766591051002,0.21539127866331,3.98189711223491,6.83673760136453e-05,0.00182134962661352
"SMS",2.37888198757764,0.896334898915416,0.185621890967701,4.82882107408001,1.37343745105877e-06,0.000101813515393704
"RPS4X",10.4844720496894,-1.0699949427715,0.223299274899575,-4.79175287628101,1.65330467774631e-06,0.000112755379022298
"RPL10",16.055900621118,-0.854097417922845,0.229903494835749,-3.71502581347465,0.000203182951627077,0.00362886274873099
