"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HES5",1.37869822485207,1.07275630211702,0.193865486443597,5.53350842275439,3.13887902644454e-08,2.04630767300903e-06
"ENO1",3.80473372781065,-0.586371115185118,0.177619654543348,-3.30127381844453,0.000962469016576374,0.0196552407602043
"ID3",1.63313609467456,-0.704835031470215,0.207520487644981,-3.39645998074186,0.000682635385691465,0.0148341920352184
"STMN1",3.83431952662722,0.882995603442443,0.189374794821241,4.66268810628121,3.12105584821926e-06,0.000115004123102862
"HMGN2",2.85207100591716,0.720526477208578,0.170832714073061,4.21773125316281,2.46772685349192e-05,0.000760508548485238
"MARCKSL1",4.04733727810651,0.843597899852555,0.169390647171681,4.98019172804476,6.35213110289086e-07,2.83338479457895e-05
"PRDX1",4.40236686390533,-0.931461536958751,0.186355809619334,-4.99829621014464,5.78390896942481e-07,2.64965559545272e-05
"L1TD1",3.34319526627219,-2.13681398528635,0.224595511531291,-9.5140547142619,1.83372417757273e-21,7.77040620246446e-19
"MLLT11",1.49112426035503,0.63767274453738,0.186995510072533,3.4100965541367,0.000649398846846666,0.0142952083818844
"S100A10",1.50887573964497,-0.827635904252552,0.218841900885614,-3.78188957829034,0.000155642404389525,0.00418752183238484
"S100A11",1.79289940828402,-0.936015029327399,0.206748764749012,-4.52730651360213,5.97402575080613e-06,0.000206652523420743
"CCT3",2.32544378698225,-0.61446576375903,0.177888160965438,-3.45422517397554,0.000551876379108611,0.01264095219715
"CRABP2",1.44970414201183,0.664761527725594,0.189049591193795,3.51633411914733,0.000437549977911032,0.0104457353881577
"SOX11",1.70414201183432,1.09689951466877,0.174570725621197,6.28341041011052,3.31225122127748e-10,3.11903656670296e-08
"ODC1",1.77514792899408,0.859472870200107,0.17390298505678,4.94225484352375,7.7224180360677e-07,3.27237464278369e-05
"SIX3",1.32544378698225,0.859129112820199,0.196569672240602,4.37060866525036,1.23900675259893e-05,0.000400292309196412
"UGP2",1.57396449704142,-0.634100522416276,0.207226356065142,-3.05994147876125,0.00221380244115082,0.0379029811894004
"TMSB10",6.11242603550296,1.03982802092692,0.20354876380202,5.10849587835522,3.24733487528385e-07,1.61889194517827e-05
"HSPD1",4.70414201183432,-0.888478375143252,0.172420779497287,-5.1529657720706,2.5639877733513e-07,1.35811227369702e-05
"HSPE1",3.81065088757396,-0.833742456225958,0.178756678270093,-4.66411920547221,3.09941685430372e-06,0.000115004123102862
"FZD5",1.30177514792899,0.778893564718865,0.198594337242482,3.92203310292702,8.78049251663845e-05,0.00240047335737132
"NCL",4.92307692307692,-0.910232923240821,0.177592006692131,-5.12541606007514,2.96881412003063e-07,1.52489088892483e-05
"PTMA",15.1242603550296,-0.603719767567948,0.184028852982788,-3.28057126794359,0.00103597088139123,0.0205401804341096
"TDGF1",1.65680473372781,-0.999999943315473,0.216207137698474,-4.62519394114587,3.74248052780022e-06,0.000134968180736625
"DPPA4",1.80473372781065,-0.810799015641423,0.200770524665241,-4.0384365035322,5.3808654251803e-05,0.00154585879587807
"PFN2",1.55621301775148,0.639168815260884,0.18310051245693,3.49080844550467,0.000481561386436955,0.0111814595891868
"RPL22L1",1.80473372781065,-0.89229365555654,0.204261389478329,-4.3683911963754,1.25165146828376e-05,0.000400292309196412
"SOX2",1.75147928994083,0.544117439693244,0.174517960008685,3.11783062136507,0.00182187474095024,0.0328518902756453
"C4orf48",1.45562130177515,0.84256792156881,0.187995910729472,4.48184175017123,7.40016109478502e-06,0.000245946530503149
"CCNI",2.25443786982249,0.485992034343064,0.159852203893322,3.04025857952758,0.00236375111443131,0.039668892464961
"AC106864.1",2.49112426035503,-1.70940976801181,0.226937356745417,-7.53251819148248,4.97709891300531e-14,9.37353628616e-12
"SFRP2",1.6508875739645,-0.669286152231407,0.204119634585476,-3.27889158527344,0.00104215664739435,0.0205401804341096
"HMGB2",2.19526627218935,0.726074996236292,0.161739565493069,4.48916128853707,7.15041439401957e-06,0.000242399047957263
"BASP1",1.60355029585799,0.583325117156958,0.181997073987726,3.20513459022038,0.00134999338633961,0.0254248754427293
"MAP1B",2.24260355029586,1.35813607035131,0.168481144768322,8.06105675634436,7.56376988252542e-16,1.60257374386007e-13
"POLR3G",1.42603550295858,-0.688716677896099,0.219447546819604,-3.13841137837944,0.00169866292160833,0.0309595016357647
"H2AFY",1.64497041420118,0.581769978400534,0.178675401707452,3.25601606511608,0.00112987358309137,0.0217629059470441
"HNRNPA0",1.88757396449704,0.545113436461728,0.169122059646881,3.22319535133324,0.00126769066276766,0.0241430974538336
"NPM1",9.68639053254438,-0.750209980709014,0.189547281339216,-3.95790419893404,7.56102698250535e-05,0.00210097389104042
"TUBB2B",3.40828402366864,0.836207414799251,0.182684432399456,4.57733263757695,4.70942292986345e-06,0.000166301497210803
"ID4",1.23668639053254,0.673400438043928,0.204329251991272,3.29566340345969,0.000981895824899709,0.0198132550381548
"SOX4",2.21301775147929,0.579741353149837,0.162887696874124,3.55914758619153,0.000372060419109333,0.00913974507812058
"HIST1H4C",3.3491124260355,1.49383580812866,0.230281017229071,6.48701237341972,8.75551508244452e-11,9.89373204316231e-09
"POU5F1",3.68639053254438,-2.3476910488405,0.228984335136951,-10.252627313726,1.15169699435571e-24,6.50708801810974e-22
"HSP90AB1",9.56804733727811,-0.945995469106689,0.176108813285544,-5.37165319246599,7.80180479882921e-08,4.897799679265e-06
"CD24",4.15976331360947,-1.08417534836182,0.187567144507728,-5.78019861211434,7.46124891379401e-09,5.4986160473395e-07
"MARCKS",2.17751479289941,0.999170608622155,0.164637964635137,6.06889553595046,1.28792882224327e-09,1.03954254938207e-07
"FABP7",1.5207100591716,1.26341615068091,0.186369743508046,6.77908402350922,1.20940180017132e-11,1.70828004274199e-09
"CYCS",1.99408284023669,-0.564135412666592,0.184787660438904,-3.05288465326455,0.00226653041478591,0.0384176905306211
"PEG10",1.50887573964497,0.652641893466974,0.186328424646886,3.50264268430222,0.000460666979254379,0.0108448684699468
"MEST",1.53254437869822,0.67952655633436,0.184549232315159,3.68208823092755,0.000231331317088583,0.00585233705171864
"SMS",2.29585798816568,0.966182193622922,0.184846148225808,5.22695334956416,1.72325956791886e-07,9.73641655874154e-06
"TMSB15A",1.76331360946746,0.917069525096618,0.173512378824405,5.28532621885552,1.25480943834454e-07,7.33414482066893e-06
"TERF1",2.79881656804734,-1.4261351252252,0.213401339636168,-6.682878034677,2.34294567686989e-11,2.8366378016389e-09
"STMN2",1.29585798816568,0.896906462284183,0.223390603641351,4.01496950930016,5.94534802878653e-05,0.0016795608181322
"TLE4",1.40236686390533,0.972960713408825,0.191381392061462,5.0838835632273,3.69794683752874e-07,1.7908628256032e-05
"LHX2",1.23668639053254,0.756728817574786,0.203525510629888,3.71810302911314,0.00020072440934143,0.00523427498205728
"LDHA",2.08284023668639,-1.09969885570521,0.206388209573181,-5.3283027067265,9.91348037887883e-08,6.00119615792843e-06
"LINC00678",1.38461538461538,-0.665015711292891,0.221825062845814,-2.99792865044799,0.00271821302724822,0.0447317580697644
"MDK",2.46153846153846,0.978053945984626,0.160385488385109,6.09814488724923,1.07306465937029e-09,9.09422298816319e-08
"MALAT1",15.8402366863905,1.83414116219019,0.291269938945346,6.29704928984912,3.03364839188518e-10,3.02472589661493e-08
"GAL",2.27218934911243,-1.55431219734911,0.222284785795195,-6.99243626498665,2.70153253899914e-12,4.16281604873049e-10
"H2AFX",1.63905325443787,0.612162823609707,0.178967946014774,3.42051656311222,0.000625023295786033,0.0139396642941753
"FEZ1",1.23076923076923,0.630103605866619,0.204905297941815,3.07509670172386,0.00210434312448073,0.0371548082916128
"SEPHS1",2.28994082840237,-1.09640834457606,0.196256888145893,-5.58659802942058,2.3156086113678e-08,1.56998263850737e-06
"VIM",3.60355029585799,1.69745644739169,0.189332937990753,8.96545770326867,3.08994855801286e-19,8.72910467638634e-17
"PGAM1",2.65680473372781,-0.670028676184418,0.178596147677204,-3.75164125821703,0.000175680724239892,0.00465279418104089
"PTMS",2.91715976331361,0.848616982493308,0.170777621508906,4.96913456807369,6.72523865776945e-07,2.92289218587672e-05
"TUBA1B",7.09467455621302,0.794336788673743,0.192281818251325,4.13110712129575,3.61020288510331e-05,0.00107356033162283
"TUBA1A",5.17751479289941,2.7962571211703,0.2030246728086,13.7729916393288,3.70545060338387e-43,3.14036938636783e-40
"KRT18",2.40236686390533,-1.40261732705713,0.208585848865205,-6.7244126803806,1.76302106482859e-11,2.29870823452651e-09
"CBX5",2.19526627218935,0.553106232416613,0.161502055652664,3.42476280058104,0.000615336399544431,0.0139066026297041
"FOXG1",1.43786982248521,1.18641308311395,0.189933903826408,6.24645236691542,4.19879986192815e-10,3.74577145577275e-08
"LINC01551",1.74556213017751,1.66558090685977,0.18017478070607,9.24425105629476,2.36893864568059e-20,8.0307020088572e-18
"MBIP",1.41420118343195,0.803540576599899,0.191059028279623,4.2057189541647,2.60253486298396e-05,0.000787731534421039
"SYNE2",1.5207100591716,0.880291772758963,0.184666442628621,4.76692874042794,1.87055431046412e-06,7.5490227529445e-05
"EVL",1.26627218934911,0.611472693061204,0.202181762447644,3.02437116809459,0.00249150561083211,0.0414029608858866
"DLK1",3.91715976331361,3.24792737567535,0.206018658291884,15.7652098242177,5.39927170002496e-56,9.15176553154231e-53
"CKB",2.78698224852071,1.21295248400747,0.170383766147057,7.11894396653131,1.08757109735656e-12,1.84343301001937e-10
"SNRPN",2.53846153846154,-1.10170020096323,0.19636468929095,-5.61048019855987,2.01765959243497e-08,1.4249720871572e-06
"EID1",2,0.55867840908146,0.166232461886597,3.36082617523037,0.00077709714825166,0.0164647458285821
"CRABP1",1.60355029585799,1.11767513571258,0.226796883846606,4.92808859079615,8.30379665623137e-07,3.43291105666151e-05
"IDH2",1.38461538461538,0.639453113204198,0.193471704106993,3.30515057049671,0.000949253885917647,0.0196217723979319
"METRN",1.47337278106509,1.11046423414899,0.187243611909647,5.93058541663275,3.01856502380102e-09,2.32566714333761e-07
"PLCG2",1.31360946745562,0.806374292145029,0.222490215707027,3.62431349883204,0.000289730000373708,0.00722194633284463
"COTL1",1.56213017751479,0.562756390863038,0.18342613943432,3.06802723209767,0.00215476980908727,0.0372687227183972
"APRT",2.0887573964497,-0.610630992859496,0.184457714644513,-3.31041178752705,0.000931588102954255,0.0194943436358946
"PFN1",3.18934911242604,-0.560638360868478,0.180951747271033,-3.098275475775,0.00194650400972144,0.0347297294366088
"C1QBP",2.36094674556213,-0.548991938065265,0.178759908250095,-3.07111333541969,0.00213262184362883,0.0372659177829985
"EIF5A",2.3491124260355,-0.557882238946159,0.175890102344452,-3.17176595789136,0.00151515060458493,0.0279150029866462
"CENPV",1.91715976331361,0.632528174243505,0.171156515459851,3.69561259496358,0.000219357239331972,0.00563349273738929
"KRT19",1.43195266272189,-0.696621875653306,0.219162745099363,-3.17855972892416,0.00148008719873536,0.0275686571632575
"TYMS",1.62721893491124,0.609784352727142,0.181121190370973,3.36672010314298,0.00076067851860585,0.0163208872029989
"CDH2",1.28402366863905,0.709926314373482,0.20025381718277,3.54513249415634,0.000392415780274159,0.00950206782235286
"DNMT3B",1.7396449704142,-0.88040105645503,0.207002142772616,-4.25310117404011,2.10830263100761e-05,0.000661772770288499
"NNAT",2.0414201183432,1.71593444858063,0.194237647089489,8.83420116693482,1.00816084175222e-18,2.44118946681431e-16
"GNAS",4.82248520710059,1.08881166104842,0.170983778119422,6.36792374705835,1.91604125329751e-10,2.02980620271204e-08
"ATP5F1E",2.81656804733728,0.875808500291419,0.174608349087695,5.01584549002038,5.28007498033779e-07,2.48603530324238e-05
"PRDX2",2.67455621301775,0.551144713455041,0.169059564061942,3.26006231302659,0.00111387738913244,0.0217014043055113
"APOE",2,-1.0529178156721,0.225445053030342,-4.67039662888673,3.00618730642804e-06,0.000115004123102862
