"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HES4",1.55593220338983,0.919381516816993,0.161493122527968,5.69300724653319,1.24821087102551e-08,2.93391347308373e-07
"HES5",1.66101694915254,1.04249205007786,0.175300978536229,5.94686954278705,2.73319067669124e-09,7.29055580501685e-08
"CAMTA1",1.7864406779661,0.417127643244919,0.139195015867924,2.99671393148669,0.00272906676700906,0.0184581324925342
"ENO1",3.35593220338983,-0.624176501772769,0.124896232657024,-4.99756068292959,5.80600709353392e-07,9.79682195520879e-06
"CTNNBIP1",1.38983050847458,0.426827459122663,0.157024556693537,2.71822107389035,0.006563396824298,0.0363205222864416
"CAMK2N1",1.27457627118644,0.471386885547908,0.164871495085941,2.85911694621433,0.00424822139215751,0.0258596861153383
"HP1BP3",1.73220338983051,0.748627153206234,0.147777203800279,5.06591770553464,4.06437486675508e-07,7.5975007351784e-06
"HNRNPR",2.28135593220339,0.33239232627966,0.123955877952962,2.68153742903417,0.00732847157884758,0.0394507744403269
"ID3",1.42033898305085,-0.722259680181103,0.145426630597149,-4.96648844310957,6.81761139848882e-07,1.11426939582215e-05
"STMN1",7.85423728813559,1.86090783676767,0.147833613528195,12.5878532787995,2.46280319882019e-36,5.31517708545375e-34
"SH3BGRL3",2.09152542372881,0.607545370640863,0.135907512946137,4.47028539828881,7.81152893248623e-06,0.000108447775939897
"LIN28A",1.50508474576271,-1.17455720420518,0.14162148520804,-8.29363710230669,1.09837206630735e-16,6.51883821353412e-15
"HMGN2",4.03050847457627,1.11513252164461,0.163422313011374,6.8236246391091,8.87716504613628e-12,3.19308936659508e-10
"KHDRBS1",2.15593220338983,0.384673813610824,0.127332213321898,3.02102510884942,0.00251920468565271,0.0173854416387777
"MARCKSL1",5.98305084745763,1.27085390812656,0.137367346165514,9.25149930897921,2.21365424802877e-20,1.7517383949401e-18
"PHC2",1.45084745762712,0.681259944931764,0.159335317406025,4.27563678927345,1.90591733860169e-05,0.000239399352478328
"SFPQ",2.32881355932203,0.444572488391065,0.124434646480804,3.57273879071653,0.000353267098052108,0.00328884741480668
"MEAF6",1.37966101694915,0.545961136263982,0.159939073696268,3.41355694794624,0.000641207562159332,0.00551531432089223
"MACF1",1.50847457627119,0.424424294193276,0.151289886775899,2.80537121970328,0.00502586602289026,0.0291721416585366
"SVBP",1.4135593220339,0.413393017732735,0.155402838431862,2.66013814100308,0.00781086082987275,0.0416038437138856
"PRDX1",3.70847457627119,-0.92461717841755,0.122331299135238,-7.55830425208989,4.08357968333154e-14,1.82913550343945e-12
"NASP",3.35593220338983,-0.612501145367935,0.119255201335708,-5.13605392894955,2.80567177825838e-07,5.55055400132117e-06
