gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DEPDC1,40.73805761,3.820813889,0.243316717,15.70304721,1.44E-55,4.35E-55
LRRC7,54.19481048,4.299513056,0.209894717,20.48414141,2.98E-93,1.58E-92
LRRC40,13.09521703,2.156762137,0.244545152,8.819484332,1.15E-18,1.86E-18
SRSF11,23.86115879,2.666821527,0.232822895,11.45429243,2.24E-30,4.43E-30
ANKRD13C,8.199286558,1.397795133,0.2290682,6.102091583,1.05E-09,1.43E-09
HHLA3,15.04977661,2.464689618,0.217419703,11.33609139,8.69E-30,1.70E-29
CTH,58.88101346,4.45232651,0.252961264,17.60082334,2.43E-69,9.18E-69
ZRANB2,6.468285081,0.822478079,0.226627058,3.629213949,0.000284286,0.000339966
NEGR1,49.70390872,3.638067402,0.233571763,15.57580143,1.06E-54,3.17E-54
FPGT,87.69593066,5.019816157,0.214469254,23.40576121,3.73E-121,2.79E-120
SLC44A5,26.57914037,3.301603461,0.227540592,14.5099537,1.05E-47,2.78E-47
ACADM,234.4335172,6.390557632,0.202322488,31.58599767,5.75E-219,1.12E-217
RABGGTB,7.009315845,1.090841334,0.204709095,5.328738989,9.89E-08,1.29E-07
ST6GALNAC3,64.6014068,4.597608882,0.252587903,18.20201533,4.97E-74,2.01E-73
USP33,12.81211081,2.168398534,0.24973104,8.682935585,3.86E-18,6.17E-18
NEXN-AS1,161.5722351,5.926543735,0.208327495,28.44820721,5.13E-178,7.10E-177
NEXN,30.69106681,3.315227392,0.265192393,12.501216,7.35E-36,1.59E-35
FUBP1,7.902098747,1.303848964,0.233667121,5.579941911,2.41E-08,3.19E-08
DNAJB4,8.831303239,1.57277278,0.230589768,6.820652943,9.06E-12,1.30E-11
TTLL7,39.54157367,3.80816609,0.24580597,15.49256956,3.89E-54,1.15E-53
PRKACB,38.25564273,3.778800344,0.271277243,13.92966213,4.18E-44,1.04E-43
RPF1,44.71403244,3.878944435,0.254474387,15.24296602,1.83E-52,5.26E-52
GNG5,35.8992839,2.789446575,0.251273588,11.1012327,1.24E-28,2.38E-28
SSX2IP,38.13545443,3.78676672,0.255612238,14.81449698,1.18E-49,3.23E-49
SYDE2,6.22409682,1.131088615,0.224374816,5.04106759,4.63E-07,5.96E-07
C1orf52,37.70800159,3.609313789,0.237748535,15.1812241,4.71E-52,1.34E-51
BCL10,10.64252047,1.846377049,0.236744524,7.799027479,6.24E-15,9.47E-15
DDAH1,18.108624,2.267447083,0.210428466,10.77538191,4.50E-27,8.46E-27
ZNHIT6,14.51434737,2.247734259,0.237995238,9.444450553,3.57E-21,6.06E-21
ODF2L,81.34506624,4.858860965,0.217669302,22.322215,2.25E-110,1.50E-109
SH3GLB1,55.81249771,3.900438237,0.203611003,19.15632349,8.57E-82,3.90E-81
HS2ST1,151.365581,5.746460252,0.224973421,25.5428407,6.59E-144,6.44E-143
PKN2,38.82107446,3.668839286,0.24810698,14.78732798,1.77E-49,4.83E-49
GTF2B,393.3399099,7.039630256,0.182777241,38.5148075,0,0
RBMXL1,94.9583445,5.156828584,0.198109879,26.03014353,2.26E-149,2.35E-148
GBP4,3.983383617,0.374894875,0.168619327,2.223320901,0.026194169,0.029126072
LRRC8B,54.08204683,4.338552701,0.23707843,18.30007349,8.26E-75,3.38E-74
LRRC8C,5.046284885,0.734388135,0.214986338,3.415975839,0.000635539,0.000751827
LRRC8D,23.27540956,3.040035207,0.21927104,13.86428051,1.04E-43,2.58E-43
ZNF326,5.880562015,0.929288253,0.209223942,4.441596143,8.93E-06,1.11E-05
ZNF644,4.358799908,0.389900842,0.19219705,2.028651539,0.042493795,0.046724258
HFM1,60.92484098,4.480433896,0.250412669,17.89220138,1.36E-71,5.30E-71
CDC7,29.66841779,3.440289884,0.242965782,14.15956541,1.63E-45,4.16E-45
GLMN,545.1532527,7.529170907,0.160281411,46.97469823,0,0
RPAP2,92.42060656,5.064186819,0.167400881,30.25185289,4.93E-201,8.18E-200
EVI5,109.047585,5.241530591,0.194950308,26.88649563,3.16E-159,3.65E-158
RPL5,5.698908713,-2.274974359,0.174367943,-13.04697594,6.61E-39,1.49E-38
MTF2,17.67737301,2.607718454,0.212592758,12.26626196,1.37E-34,2.91E-34
TMED5,10.47350556,1.74938273,0.245556594,7.124152947,1.05E-12,1.53E-12
CCDC18,131.3211403,5.520420283,0.203050657,27.18740424,9.15E-163,1.09E-161
FNBP1L,5.835086003,0.946692073,0.204682834,4.625165951,3.74E-06,4.69E-06
BCAR3,255.9549695,6.396691505,0.170845493,37.44138271,8.30E-307,3.06E-305
DNTTIP2,9.406849741,1.611185565,0.226211903,7.122461472,1.06E-12,1.55E-12
GCLM,71.00185436,4.362796469,0.249816552,17.46400085,2.69E-68,1.00E-67
ARHGAP29,27.06441598,3.220709376,0.258515497,12.45847699,1.26E-35,2.71E-35
ABCD3,15.27783835,2.374890367,0.248473796,9.557910738,1.20E-21,2.06E-21
F3,116.9792298,5.373775817,0.180941122,29.69903002,7.90E-194,1.22E-192
CNN3,5.552267455,0.674595749,0.198989827,3.390101691,0.000698667,0.000825069
ALG14,37.11581062,3.716333789,0.22678282,16.38719279,2.36E-60,7.69E-60
RWDD3,22.91082182,3.028074196,0.243040001,12.45915976,1.25E-35,2.69E-35
PTBP2,100.6471734,5.01639211,0.237682976,21.10539084,7.10E-99,4.12E-98
DPYD,62.7476452,4.070140065,0.251205763,16.20241516,4.85E-59,1.55E-58
SNX7,8.68178953,1.387434585,0.219084881,6.332863223,2.41E-10,3.34E-10
AGL,46.74958958,4.115723771,0.243251284,16.9196384,3.22E-64,1.12E-63
SLC35A3,21.42903607,2.866656848,0.250810212,11.42958586,2.98E-30,5.88E-30
SASS6,300.1329999,6.696909154,0.195976447,34.17201021,6.30E-256,1.61E-254
TRMT13,151.1056736,5.8087729,0.203261576,28.57782081,1.27E-179,1.78E-178
DBT,24.42764584,3.156969965,0.223291286,14.13834827,2.20E-45,5.61E-45
RTCA,256.5747148,6.471452082,0.179567089,36.03918793,2.04E-284,6.67E-283
CDC14A,41.89471389,3.945059202,0.243029821,16.23281943,2.96E-59,9.46E-59
VCAM1,15.89455659,2.528612414,0.254176051,9.948271698,2.57E-23,4.53E-23
EXTL2,83.65816253,4.940526941,0.223152198,22.13971888,1.31E-108,8.56E-108
SLC30A7,2.297527215,-0.744236302,0.153398728,-4.85164585,1.22E-06,1.56E-06
DPH5,4.909947677,0.722567499,0.218141798,3.312375288,0.000925074,0.001087004
S1PR1,4.87409673,0.735513797,0.216196708,3.402058265,0.000668804,0.000790319
OLFM3,32.65561369,3.603737064,0.259122592,13.90745993,5.71E-44,1.42E-43
COL11A1,230.1253606,6.37367939,0.198123772,32.17019,4.61E-227,9.47E-226
RNPC3,26.57891371,3.246664681,0.242768093,13.37352301,8.64E-41,2.01E-40
AMY2B,9.5865564,1.775420167,0.242651604,7.316746064,2.54E-13,3.75E-13
PRMT6,603.4632775,7.799672655,0.163769952,47.62578567,0,0
VAV3,7.314859232,1.370569735,0.237860734,5.762068055,8.31E-09,1.12E-08
SLC25A24,22.17961104,2.850946616,0.236371146,12.06131402,1.69E-33,3.52E-33
FAM102B,22.60407255,3.028714073,0.228221087,13.27096505,3.41E-40,7.86E-40
PRPF38B,33.78259202,3.4275218,0.224296902,15.28118211,1.02E-52,2.94E-52
STXBP3,33.68506939,3.541508514,0.246440396,14.37064934,7.91E-47,2.07E-46
AKNAD1,30.10402524,3.429200853,0.256637113,13.36206136,1.01E-40,2.35E-40
GPSM2,21.83102335,2.862594911,0.245411128,11.66448697,1.94E-31,3.90E-31
CLCC1,13.48461317,2.233892543,0.235073831,9.50294015,2.04E-21,3.48E-21
WDR47,228.7365422,6.397271638,0.19202526,33.31474009,2.36E-243,5.49E-242
TMEM167B,52.86626606,4.173190555,0.239910295,17.39479564,9.03E-68,3.33E-67
KIAA1324,122.8127647,5.518745305,0.250677971,22.01527836,2.06E-107,1.33E-106
SARS,184.9273089,5.856258982,0.197032521,29.72229633,3.96E-194,6.14E-193
CELSR2,63.72458628,4.577803599,0.248758501,18.40260164,1.25E-75,5.19E-75
PSRC1,17.88217105,2.704886336,0.242751304,11.14262331,7.78E-29,1.50E-28
