gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ITGA1,27.89230332,3.348981916,0.235661954,14.21095711,7.83E-46,2.01E-45
ITGA2,254.3337927,6.274936236,0.217322222,28.87388215,2.54E-183,3.64E-182
MOCS2,102.1023709,5.035564571,0.23087556,21.81073031,1.84E-105,1.16E-104
FST,30.36415364,3.196235356,0.248130071,12.88128984,5.74E-38,1.28E-37
NDUFS4,2.025530119,-1.454087706,0.140355773,-10.3600135,3.77E-25,6.86E-25
ARL15,5.085301466,0.756729324,0.216590078,3.493831897,0.000476141,0.000565603
SNX18,107.983132,5.28000754,0.203560213,25.93830814,2.46E-148,2.53E-147
GPX8,47.13476029,3.855251954,0.201731266,19.11083013,2.05E-81,9.29E-81
DHX29,20.2553923,2.638950032,0.239857449,11.00215999,3.73E-28,7.13E-28
IL6ST,11.55655588,1.808199565,0.236806864,7.635756573,2.24E-14,3.38E-14
AC022431.1,34.1568552,3.669029443,0.257950112,14.22379473,6.52E-46,1.68E-45
MAP3K1,15.33892101,2.470040802,0.250903665,9.844578423,7.23E-23,1.27E-22
SETD9,47.12053799,4.115697716,0.212024215,19.41145124,6.18E-84,2.91E-83
MIER3,34.51214902,3.672751983,0.252182664,14.56385591,4.77E-48,1.27E-47
GPBP1,7.542749491,1.18809607,0.232972714,5.099721978,3.40E-07,4.40E-07
PLK2,19.40680766,2.732394553,0.225850798,12.09822845,1.08E-33,2.25E-33
RAB3C,26.03331913,3.271423644,0.255755678,12.79120633,1.84E-37,4.06E-37
PDE4D,116.9338122,5.098603449,0.174786422,29.17047787,4.59E-187,6.78E-186
ERCC8,35.32753811,3.685217622,0.232397731,15.85737354,1.25E-56,3.83E-56
SMIM15,23.75021128,2.971713187,0.254328459,11.68454837,1.53E-31,3.09E-31
ZSWIM6,126.6883523,5.240861359,0.158992516,32.96294372,2.76E-238,6.13E-237
KIF2A,5.466114812,0.567003134,0.166308642,3.409342568,0.000651197,0.000770015
DIMT1,19.41682381,2.667792368,0.254816859,10.46945002,1.19E-25,2.19E-25
IPO11,61.72382664,4.486737488,0.235579304,19.04555029,7.15E-81,3.21E-80
RNF180,6.216420837,1.111709074,0.214551123,5.181557934,2.20E-07,2.86E-07
SREK1IP1,2.404869801,-0.756253265,0.173085647,-4.369243088,1.25E-05,1.54E-05
CWC27,40.41557528,3.74056583,0.239175895,15.63939308,3.92E-55,1.18E-54
ADAMTS6,13.71849906,1.241181659,0.208526883,5.952142192,2.65E-09,3.59E-09
CENPK,10.55303931,1.679566412,0.227518849,7.382097879,1.56E-13,2.31E-13
PPWD1,22.04147503,2.97240261,0.238504849,12.46265065,1.19E-35,2.57E-35
TRIM23,1370.078184,8.983064301,0.160460209,55.98312716,0,0
TRAPPC13,84.84747686,4.940093937,0.249752658,19.77994541,4.43E-87,2.17E-86
SGTB,23.75387712,3.072750611,0.230897543,13.30785322,2.08E-40,4.82E-40
NLN,6.751181343,1.149695518,0.228924868,5.022152148,5.11E-07,6.57E-07
SREK1,199.5033732,6.018340566,0.230472067,26.11310187,2.59E-150,2.72E-149
MAST4,406.4203531,7.238452815,0.168179645,43.04000544,0,0
PIK3R1,22.97256674,3.054797882,0.26557809,11.50244693,1.28E-30,2.55E-30
SLC30A5,84.6870346,4.886045445,0.211313854,23.12222006,2.77E-118,2.00E-117
CENPH,11.36799331,1.969644235,0.190215307,10.35481458,3.98E-25,7.24E-25
MRPS36,2.776285786,-0.681082651,0.176020115,-3.869345561,0.000109128,0.00013213
CDK7,63.40053937,4.486271276,0.234018466,19.17058665,6.52E-82,2.97E-81
TAF9,7.721161809,1.14815717,0.213772187,5.370938035,7.83E-08,1.03E-07
RAD17,2.349960662,-0.58142544,0.17044785,-3.411163227,0.000646864,0.000764974
MARVELD2,36.54949791,3.767331032,0.262875593,14.3312317,1.40E-46,3.64E-46
OCLN,16.12401572,2.563703554,0.260187931,9.853276208,6.63E-23,1.16E-22
GTF2H2C,16.05943737,2.503735954,0.223055712,11.22471124,3.08E-29,5.99E-29
SMN2,194.4166892,6.194541409,0.213965272,28.95115338,2.71E-184,3.92E-183
SERF1A,6.778970458,1.254558824,0.223281533,5.618730784,1.92E-08,2.56E-08
SMN1,34.33620747,3.665450166,0.255252688,14.36008451,9.21E-47,2.41E-46
GTF2H2,68.10225051,4.571311354,0.237822384,19.22153531,2.44E-82,1.12E-81
BDP1,17.36549552,2.400556145,0.243929406,9.841192105,7.48E-23,1.31E-22
MCCC2,5.429294743,0.797469178,0.226716588,3.517471688,0.000435679,0.000517935
MAP1B,3.656205803,-0.416727564,0.183264342,-2.273915151,0.022971089,0.02563666
MRPS27,14.96308587,2.262098235,0.223916046,10.10243916,5.39E-24,9.61E-24
PTCD2,74.33978413,4.779630108,0.228111421,20.95305039,1.76E-97,1.01E-96
TNPO1,44.76451839,3.723161461,0.262238317,14.19762566,9.48E-46,2.43E-45
FCHO2,26.54438588,3.1828156,0.229611418,13.86174796,1.08E-43,2.67E-43
AC099522.2,96.86677038,5.185995707,0.210323371,24.65724884,3.08E-134,2.71E-133
BTF3,397.3952797,5.500312296,0.142970927,38.47154402,0,0
ANKRA2,7.854999977,1.453888938,0.230454545,6.308788297,2.81E-10,3.90E-10
UTP15,1.929682841,-1.044188744,0.154257527,-6.76912671,1.30E-11,1.85E-11
GFM2,44.48342391,4.032657698,0.237635836,16.96990554,1.37E-64,4.79E-64
NSA2,7.365473496,0.655187571,0.226535116,2.89221196,0.003825398,0.004402205
FAM169A,5.867409967,1.039452631,0.219017579,4.745978094,2.08E-06,2.62E-06
HMGCR,47.41917364,4.116047734,0.241492876,17.04417873,3.86E-65,1.36E-64
POLK,21.68722079,2.913018698,0.263359631,11.06099172,1.94E-28,3.72E-28
POC5,34.74451537,3.671871946,0.222275238,16.51948272,2.66E-61,8.80E-61
IQGAP2,28.4356705,3.390528266,0.259602989,13.06043616,5.54E-39,1.25E-38
F2R,10.26186336,1.837906428,0.23284883,7.893131486,2.95E-15,4.50E-15
CRHBP,15.83672166,2.538096684,0.25174454,10.08203269,6.63E-24,1.18E-23
AGGF1,7.649139319,1.380277533,0.216473875,6.376185271,1.82E-10,2.53E-10
ZBED3,14.4253586,2.390029959,0.199234125,11.99608733,3.72E-33,7.71E-33
ZBED3-AS1,9.582103684,1.787090487,0.247182552,7.22984074,4.84E-13,7.11E-13
PDE8B,56.88552993,4.413010699,0.213642902,20.65601361,8.62E-95,4.69E-94
WDR41,58.53490622,4.25198377,0.214092415,19.8605064,8.94E-88,4.43E-87
TBCA,26.91884279,2.392882111,0.225372743,10.61744235,2.47E-26,4.59E-26
AP3B1,36.48474382,3.522645987,0.254347539,13.84973492,1.28E-43,3.15E-43
SCAMP1,19.62950584,2.70644523,0.229712851,11.7818625,4.84E-32,9.84E-32
LHFPL2,33.19427263,3.384086818,0.251504843,13.45535447,2.86E-41,6.74E-41
ARSB,32.56802085,3.533262214,0.244975924,14.42289574,3.71E-47,9.77E-47
JMY,98.35725866,5.18706779,0.233325376,22.23104865,1.72E-109,1.13E-108
HOMER1,33.50765939,3.576274562,0.24210104,14.7718265,2.23E-49,6.07E-49
CMYA5,51.03521747,4.255365449,0.230278383,18.47922242,3.04E-76,1.27E-75
MTX3,58.23387688,4.391873188,0.249954897,17.57066272,4.13E-69,1.56E-68
SERINC5,13.14020123,2.235314992,0.25252144,8.851981022,8.60E-19,1.39E-18
ZFYVE16,15.1822065,2.35526499,0.260362402,9.04610256,1.48E-19,2.44E-19
DHFR,39.58437813,3.749166766,0.256377099,14.62364143,1.98E-48,5.32E-48
MSH3,15.12622716,2.404927867,0.24283956,9.903361164,4.03E-23,7.08E-23
RASGRF2,49.62026122,4.213243917,0.202093549,20.8479882,1.59E-96,8.93E-96
CKMT2-AS1,14.74512013,2.398015755,0.260183715,9.216625073,3.07E-20,5.12E-20
CKMT2,16.03973499,2.553174589,0.214308738,11.9135347,1.01E-32,2.06E-32
ZCCHC9,43.57685706,3.920479899,0.215083197,18.22773675,3.11E-74,1.26E-73
SSBP2,26.18420468,3.224451266,0.209444225,15.39527416,1.76E-53,5.14E-53
ATG10,197.5191435,6.110954765,0.214572125,28.47972338,2.09E-178,2.90E-177
ATP6AP1L,5.017682861,0.760318319,0.211649005,3.5923548,0.000327703,0.000391028
TMEM167A,13.08150965,1.654100474,0.258423882,6.400726043,1.55E-10,2.16E-10
XRCC4,60.73995643,4.313731484,0.260263645,16.57446814,1.07E-61,3.56E-61
VCAN,55.09295424,3.920097888,0.23270227,16.84598047,1.12E-63,3.86E-63
EDIL3,42.07159481,3.87860844,0.244392833,15.87038538,1.02E-56,3.12E-56
COX7C,121.6473268,4.36253237,0.207700362,21.00397099,6.03E-98,3.47E-97
CCNH,19.8615294,2.685285634,0.199555098,13.45636196,2.82E-41,6.65E-41
TMEM161B,369.9034312,7.058857743,0.215157925,32.80779805,4.56E-236,9.91E-235
TMEM161B-AS1,4.113918789,0.414291012,0.205689774,2.014154642,0.0439933,0.048348588
LINC00461,33.32454701,3.631832345,0.254105044,14.29264168,2.43E-46,6.31E-46
MEF2C,8.561751431,1.551886798,0.227650885,6.816959215,9.30E-12,1.33E-11
CETN3,34.62477738,3.618927264,0.203657992,17.76963047,1.21E-70,4.68E-70
MBLAC2,192.1352599,6.144969568,0.212984821,28.85167841,4.83E-183,6.89E-182
POLR3G,65.28436906,4.560646131,0.236873595,19.25350155,1.32E-82,6.11E-82
LYSMD3,6.816778621,1.216318293,0.228545966,5.321985399,1.03E-07,1.34E-07
ARRDC3,89.78031492,4.961286818,0.21870867,22.68445426,6.38E-114,4.40E-113
NR2F1-AS1,26.23643514,3.178677566,0.214500643,14.81896524,1.10E-49,3.03E-49
NR2F1,24.98723076,3.190354566,0.24749683,12.89048657,5.09E-38,1.13E-37
FAM172A,6.368222084,0.923619615,0.225579848,4.094424325,4.23E-05,5.17E-05
POU5F2,47.98253342,4.165460199,0.226570512,18.38482937,1.74E-75,7.18E-75
KIAA0825,7.080644774,1.262108263,0.224848675,5.613145215,1.99E-08,2.64E-08
MCTP1,19.6408431,2.845059834,0.204480194,13.91362055,5.24E-44,1.30E-43
TTC37,110.6613363,5.251420586,0.211317971,24.85079982,2.53E-136,2.30E-135
ARSK,195.0516924,6.188434723,0.163913328,37.75431085,0,0
RHOBTB3,136.9428429,5.430250677,0.215715119,25.17325025,7.87E-140,7.40E-139
GLRX,23.04714882,2.292169054,0.240969188,9.512291071,1.87E-21,3.18E-21
ELL2,21.29750592,2.5087515,0.233835924,10.72868298,7.47E-27,1.40E-26
CAST,27.19793661,2.607655345,0.25147716,10.36935262,3.42E-25,6.23E-25
ERAP1,42.6189613,3.958937345,0.255654067,15.48552461,4.35E-54,1.28E-53
LNPEP,56.68056697,4.322143652,0.229067207,18.8684522,2.07E-79,9.08E-79
LIX1,124.4506034,5.548874004,0.213114374,26.03707067,1.88E-149,1.97E-148
RIOK2,184.46938,6.043711735,0.175133127,34.50924353,5.83E-261,1.58E-259
RGMB,524.0144972,7.462798954,0.154078595,48.43501433,0,0
CHD1,7.833005259,1.285155637,0.226569072,5.672246548,1.41E-08,1.88E-08
ST8SIA4,34.61414485,3.688376863,0.250962391,14.69693066,6.74E-49,1.82E-48
LINC00491,7.666286988,1.447612961,0.23677402,6.113901181,9.72E-10,1.33E-09
PAM,22.45293153,2.749365675,0.213397036,12.88380443,5.55E-38,1.24E-37
GIN1,474.0642287,7.482842595,0.16984282,44.05745622,0,0
PPIP5K2,231.5939857,6.283512436,0.175280122,35.84840301,1.95E-281,6.10E-280
C5orf30,32.16837188,3.497714437,0.243267942,14.37803276,7.11E-47,1.86E-46
NUDT12,22.47036086,3.0538181,0.218267505,13.99117151,1.76E-44,4.42E-44
EFNA5,13.96792593,2.197521053,0.238165208,9.226876896,2.79E-20,4.66E-20
FBXL17,57.13654863,4.31222239,0.242206637,17.80389855,6.59E-71,2.55E-70
FER,3763.441485,10.17601869,0.164765284,61.76069634,0,0
PJA2,86.25807408,4.796462157,0.235833398,20.33834982,5.89E-92,3.08E-91
TMEM232,55.43302513,4.364240661,0.265052977,16.46554098,6.49E-61,2.13E-60
SLC25A46,36.03353662,3.620548949,0.251902476,14.37282001,7.66E-47,2.00E-46
CAMK4,47.4556419,4.127050886,0.211810418,19.4846454,1.48E-84,7.05E-84
STARD4,68.95388863,4.618749888,0.273258086,16.90251863,4.31E-64,1.49E-63
STARD4-AS1,236.5346757,6.264168339,0.190100301,32.95191181,3.97E-238,8.79E-237
NREP,871.3515352,8.020666147,0.203559526,39.40206725,0,0
EPB41L4A,122.2124138,5.512563464,0.206311379,26.71962874,2.78E-157,3.15E-156
EPB41L4A-AS1,18.19050443,2.538393628,0.229763929,11.04783348,2.25E-28,4.31E-28
APC,36.26256212,3.628725015,0.251181313,14.44663607,2.63E-47,6.93E-47
SRP19,3.006468398,-0.695418662,0.183310403,-3.7936672,0.000148439,0.000179009
REEP5,82.70824795,4.431206018,0.230236795,19.24629818,1.52E-82,7.00E-82
DCP2,54.20418662,4.289293698,0.20984826,20.4399774,7.38E-93,3.90E-92
MCC,9.142395736,1.611965138,0.228372638,7.05848631,1.68E-12,2.45E-12
YTHDC2,6.053500479,0.997075151,0.19815696,5.031744291,4.86E-07,6.26E-07
TRIM36,87.92458073,5.04466909,0.212331131,23.75849964,8.98E-125,6.99E-124
PGGT1B,21.09535701,2.89630196,0.226422716,12.79156973,1.83E-37,4.04E-37
CCDC112,326.4608633,6.88023098,0.189868599,36.23680276,1.60E-287,5.30E-286
FEM1C,35.66147869,3.697561373,0.246471821,15.00196392,7.13E-51,1.99E-50
TMED7,2.730944295,-0.400493,0.184066455,-2.175806552,0.029569729,0.03278219
CDO1,350.2817407,7.034317349,0.154487116,45.53335929,0,0
ATG12,69.68526676,4.400742358,0.247002025,17.81662461,5.25E-71,2.03E-70
AP3S1,16.24614266,2.321624933,0.238493887,9.73452594,2.15E-22,3.72E-22
COMMD10,109.5020989,5.151637123,0.244471373,21.07255773,1.42E-98,8.21E-98
SEMA6A,77.03989271,4.83138141,0.213260588,22.65482546,1.25E-113,8.60E-113
DTWD2,90.1766046,5.049793815,0.240821102,20.96906698,1.26E-97,7.21E-97
DMXL1,14.61119513,2.351776429,0.259745839,9.054144754,1.38E-19,2.27E-19
TNFAIP8,133.9332372,5.539683145,0.194242181,28.51946539,6.72E-179,9.36E-178
HSD17B4,58.02982458,4.365245822,0.279643975,15.61001206,6.22E-55,1.86E-54
SRFBP1,22.6429379,2.870902424,0.23982147,11.97099838,5.04E-33,1.04E-32
SNX2,140.8984138,5.546511311,0.22989208,24.12658721,1.32E-128,1.09E-127
SNX24,1.845695075,-1.247045563,0.137433405,-9.073816987,1.15E-19,1.90E-19
CEP120,112.2806261,5.377545491,0.181186866,29.67955462,1.41E-193,2.17E-192
CSNK1G3,11.45408656,1.880038671,0.238685139,7.876647373,3.36E-15,5.13E-15
ZNF608,10.85352804,1.961547137,0.242742952,8.080758355,6.44E-16,9.92E-16
ALDH7A1,108.1333122,5.151266251,0.242149989,21.27303939,2.02E-100,1.19E-99
PHAX,113.9031257,5.276608722,0.170829324,30.88819067,1.72E-209,3.07E-208
LMNB1,25.78562218,3.15089122,0.236541087,13.32069306,1.75E-40,4.07E-40
3-Mar,14.05782728,2.21245995,0.260940979,8.478775396,2.28E-17,3.59E-17
MEGF10,22.33268685,3.046179555,0.240444066,12.66897374,8.79E-37,1.93E-36
PRRC1,8.275660155,1.397456731,0.242711483,5.757686913,8.53E-09,1.14E-08
CTXN3,194.3695426,6.194139202,0.21223871,29.1847759,3.03E-187,4.47E-186
SLC12A2,65.77084817,4.5598794,0.243578559,18.72036446,3.38E-78,1.46E-77
FBN2,18.83125039,2.749339224,0.254391284,10.8075213,3.17E-27,5.97E-27
ISOC1,12.57081762,2.149497172,0.253259959,8.487315471,2.11E-17,3.34E-17
HINT1,5.247022347,-1.168117169,0.186295192,-6.270248596,3.60E-10,4.98E-10
LYRM7,20.09179959,2.847063307,0.24816394,11.47251008,1.81E-30,3.60E-30
CDC42SE2,90.01040715,4.952763534,0.236962941,20.90100464,5.24E-97,2.97E-96
RAPGEF6,97.84998256,5.093910053,0.196640231,25.90471966,5.89E-148,6.01E-147
FNIP1,44.74308264,3.801366509,0.245758863,15.46787147,5.72E-54,1.68E-53
P4HA2,19.60592057,2.547787166,0.256052344,9.95025909,2.52E-23,4.44E-23
SLC22A5,129.2993415,5.604248109,0.186214398,30.09567556,5.52E-199,8.95E-198
IRF1,92.96278349,5.084219945,0.228761752,22.22495632,1.97E-109,1.30E-108
KIF3A,117.4228473,5.4438645,0.181562943,29.98334577,1.62E-197,2.59E-196
SHROOM1,156.5252966,5.859334106,0.231421434,25.31889114,1.98E-141,1.90E-140
UQCRQ,4.237365317,-0.571617835,0.200351699,-2.853072062,0.00432988,0.004973276
LEAP2,49.73592297,4.216594986,0.229401837,18.38082488,1.87E-75,7.72E-75
AFF4,2.878002789,-0.397083611,0.187477693,-2.118031237,0.034172422,0.037742468
ZCCHC10,307.3155257,6.740060491,0.162004413,41.6041783,0,0
FSTL4,48.5256275,4.180339628,0.237284883,17.61738704,1.81E-69,6.86E-69
C5orf15,13.51865943,2.215898212,0.235301817,9.417259259,4.63E-21,7.84E-21
VDAC1,54.69055451,3.521532384,0.243053405,14.48871856,1.43E-47,3.77E-47
TCF7,6.377170144,1.029151196,0.192113171,5.357004889,8.46E-08,1.11E-07
SKP1,116.1206835,4.13215055,0.247222741,16.71428178,1.03E-62,3.48E-62
PPP2CA,2.582745707,-0.568706962,0.176496353,-3.222202347,0.001272093,0.001487801
CDKL3,51.7698106,4.232113278,0.256418143,16.50473412,3.39E-61,1.12E-60
UBE2B,513.0324959,7.27048843,0.196669083,36.96813097,3.72E-299,1.30E-297
CDKN2AIPNL,27.95500499,3.25128944,0.255840388,12.70827278,5.32E-37,1.17E-36
SAR1B,5.848809984,0.921620826,0.219382504,4.200976871,2.66E-05,3.26E-05
SEC24A,16.26686833,2.500588134,0.218792397,11.42904492,2.99E-30,5.92E-30
CAMLG,69.51157655,4.503159591,0.179719395,25.0566144,1.48E-138,1.37E-137
DDX46,62.62014758,4.185978856,0.219078683,19.10719379,2.20E-81,9.95E-81
C5orf24,13.00621438,2.053489657,0.246472448,8.331518077,7.98E-17,1.25E-16
TXNDC15,95.14715801,5.054997828,0.189375318,26.69301298,5.67E-157,6.38E-156
PCBD2,15.47786621,2.397621033,0.245800961,9.75431921,1.77E-22,3.07E-22
H2AFY,32.37437176,3.233239283,0.238785444,13.54035336,9.04E-42,2.15E-41
NEUROG1,92.14320852,5.113568022,0.209090836,24.45620345,4.32E-132,3.71E-131
LECT2,250.8680403,6.563058856,0.211016683,31.10208525,2.26E-212,4.17E-211
SMAD5,158.7912948,5.730477181,0.215042438,26.64812225,1.88E-156,2.11E-155
SPOCK1,48.94335909,3.742757278,0.214408464,17.45620115,3.09E-68,1.15E-67
KLHL3,53.63805456,4.326885271,0.242025954,17.87777388,1.76E-71,6.84E-71
HNRNPA0,50.36139843,4.025088672,0.206293747,19.51144294,8.78E-85,4.18E-84
FAM13B,18.76516777,2.627827266,0.247178388,10.63129865,2.13E-26,3.96E-26
NME5,27.23308735,3.325973936,0.219961183,15.12073126,1.18E-51,3.35E-51
BRD8,4.281077462,0.442552082,0.201108452,2.200564307,0.027766883,0.030827509
KIF20A,2096.596526,9.607167974,0.166068321,57.85069621,0,0
CDC23,29.64984914,3.378146704,0.251264891,13.44456319,3.31E-41,7.79E-41
CDC25C,100.6789484,5.241404485,0.252043822,20.79560781,4.74E-96,2.64E-95
FAM53C,66.98292303,4.606786356,0.217185496,21.21129838,7.51E-100,4.41E-99
KDM3B,18.01247576,2.647433195,0.260869981,10.14847774,3.37E-24,6.02E-24
REEP2,81.9027255,4.932433733,0.260283015,18.95027121,4.39E-80,1.95E-79
EGR1,5.19139425,0.594357144,0.203715012,2.917591294,0.003527464,0.004065374
ETF1,6.669739406,0.926130092,0.222196413,4.168069492,3.07E-05,3.77E-05
HSPA9,70.54318208,4.17229204,0.223685114,18.65252441,1.20E-77,5.16E-77
CTNNA1,20.81899359,2.594470785,0.196802839,13.18309634,1.10E-39,2.51E-39
SIL1,52.89513793,4.044850607,0.256722943,15.75570363,6.28E-56,1.90E-55
MATR3,30.10179072,3.483152725,0.249288261,13.97238967,2.30E-44,5.74E-44
PAIP2,6.762176193,1.010687953,0.206970009,4.883258011,1.04E-06,1.33E-06
SPATA24,9.165395606,1.685021117,0.232056976,7.261238807,3.84E-13,5.65E-13
DNAJC18,66.42010218,4.638765061,0.215910414,21.48467493,2.17E-102,1.32E-101
UBE2D2,8.519481279,1.152513737,0.23481262,4.908227416,9.19E-07,1.17E-06
CXXC5,19.48972837,2.631409426,0.242181787,10.8654307,1.68E-27,3.19E-27
PSD2,59.36869024,4.47475605,0.232789343,19.22234061,2.41E-82,1.11E-81
PURA,128.2710582,5.467334101,0.285279946,19.16480345,7.28E-82,3.32E-81
CYSTM1,5.742251143,0.545748518,0.163087312,3.346357914,0.000818806,0.000964847
PFDN1,67.06044333,4.374853863,0.198285221,22.06343895,7.10E-108,4.60E-107
SLC35A4,2.464974451,-0.576040425,0.157303869,-3.661959676,0.000250293,0.00029991
NDUFA2,7.693337444,1.023798604,0.191017902,5.359699763,8.34E-08,1.09E-07
TMCO6,14.72011853,2.410292716,0.252936767,9.529230331,1.58E-21,2.70E-21
IK,11.13154702,1.728932223,0.19483973,8.873612301,7.08E-19,1.15E-18
WDR55,11.1261788,1.974153284,0.211619514,9.328786597,1.07E-20,1.80E-20
HARS,41.19379382,3.578606113,0.188598223,18.9747605,2.76E-80,1.22E-79
HARS2,18.82788355,2.762475128,0.246856742,11.19060031,4.53E-29,8.79E-29
ZMAT2,7.988585346,1.288103523,0.193064656,6.671876404,2.53E-11,3.59E-11
PCDHA9,52.47545417,4.295742118,0.266228397,16.1355519,1.44E-58,4.54E-58
PCDHA12,46.36866486,4.115217357,0.260888023,15.7738838,4.71E-56,1.43E-55
PCDHA13,63.59956907,4.574980319,0.228957398,19.98179733,7.93E-89,3.99E-88
PCDHB2,65.41471491,4.615065513,0.249020982,18.53283802,1.12E-76,4.74E-76
PCDHB16,5.441797853,0.910958437,0.220286564,4.135333634,3.54E-05,4.34E-05
PCDHB9,4.675862279,0.667052662,0.220316068,3.027707736,0.002464163,0.002854458
PCDHB11,10.62055087,1.92899812,0.159265881,12.11181017,9.15E-34,1.91E-33
TAF7,431.8041727,7.124817218,0.164574064,43.29246699,0,0
AC005618.1,73.01618083,4.775643664,0.219458152,21.76106752,5.43E-105,3.39E-104
PCDHGB6,22.70771629,3.069661641,0.247696398,12.39283924,2.86E-35,6.13E-35
PCDHGC3,8.37306624,1.577953817,0.229592817,6.87283618,6.29E-12,9.04E-12
PCDHGC4,5.511635258,0.92475094,0.19893798,4.648438368,3.34E-06,4.20E-06
DIAPH1,11.77282213,1.976343129,0.246028122,8.032996841,9.51E-16,1.46E-15
HDAC3,58.40702296,4.356007076,0.251479708,17.3215052,3.24E-67,1.18E-66
FCHSD1,66.13547749,4.5988696,0.257039927,17.89165465,1.37E-71,5.35E-71
RNF14,205.632385,6.254897992,0.183899397,34.01260737,1.45E-253,3.64E-252
GNPDA1,12.37519974,2.055106534,0.24074376,8.536489319,1.38E-17,2.19E-17
NDFIP1,38.74094214,3.619178979,0.237112581,15.26354681,1.34E-52,3.85E-52
SPRY4,5.252240678,0.723835272,0.214877747,3.36859113,0.000755534,0.000891256
ARHGAP26,32.75937552,3.563611994,0.247904242,14.37495369,7.43E-47,1.94E-46
NR3C1,125.2844002,5.158042236,0.242107513,21.30475906,1.03E-100,6.11E-100
YIPF5,11.36426226,1.80984278,0.223570477,8.095177886,5.72E-16,8.82E-16
PRELID2,46.37495816,4.028358731,0.218105359,18.46978334,3.62E-76,1.51E-75
PLAC8L1,29.62716336,3.45998493,0.24980348,13.85082759,1.26E-43,3.10E-43
LARS,50.86276603,3.926469666,0.258753949,15.17453043,5.21E-52,1.49E-51
RBM27,22.21204025,2.782138476,0.248647497,11.18908702,4.61E-29,8.94E-29
TCERG1,54.29808721,4.187159775,0.284214662,14.73238485,3.99E-49,1.08E-48
PPP2R2B,16.04846417,2.551425431,0.207589613,12.29071816,1.02E-34,2.15E-34
DPYSL3,5.633581409,0.821777139,0.21237682,3.869429531,0.00010909,0.0001321
JAKMIP2,22.7369323,3.072497243,0.238569182,12.87885223,5.92E-38,1.32E-37
SPINK9,54.57069509,4.352847736,0.254856056,17.07963236,2.10E-65,7.46E-65
FBXO38,2.30954895,-0.553576799,0.178463104,-3.10191175,0.001922753,0.002234917
SH3TC2,41.06144101,3.938323781,0.267265688,14.73561314,3.81E-49,1.03E-48
GRPEL2,30.36626766,3.485182299,0.245478721,14.19749248,9.49E-46,2.43E-45
PCYOX1L,6.609059431,1.215724458,0.240384319,5.057419987,4.25E-07,5.48E-07
CSNK1A1,69.4318755,4.007668014,0.246105592,16.28434358,1.27E-59,4.11E-59
PPARGC1B,35.44120835,3.723019397,0.226792951,16.41593967,1.47E-60,4.81E-60
PDE6A,8.52322468,1.606963333,0.242108835,6.637359318,3.19E-11,4.52E-11
SLC26A2,383.4098608,7.165266679,0.192486621,37.22475179,2.71E-303,9.71E-302
HMGXB3,57.24459047,4.325746507,0.222000079,19.48533768,1.46E-84,6.96E-84
TCOF1,70.41467178,4.648149843,0.23109735,20.11338442,5.63E-90,2.87E-89
CD74,44.25983576,4.047439424,0.244391571,16.56128897,1.33E-61,4.42E-61
RPS14,63.44195668,1.223336679,0.240012078,5.096979656,3.45E-07,4.46E-07
NDST1,109.4728577,5.267425979,0.212589716,24.77742606,1.57E-135,1.40E-134
RBM22,8.311479174,1.400954096,0.217835007,6.431262436,1.27E-10,1.77E-10
DCTN4,91.39619325,4.964242236,0.206256659,24.06827622,5.37E-128,4.40E-127
GPX3,7.855074432,1.437121175,0.240106519,5.985348412,2.16E-09,2.93E-09
TNIP1,112.2682067,5.235757077,0.21827951,23.98647988,3.85E-127,3.12E-126
ANXA6,8.72915265,1.321770588,0.237104287,5.574638077,2.48E-08,3.29E-08
GM2A,1.973130674,-0.874031658,0.164092993,-5.326441059,1.00E-07,1.31E-07
SLC36A3,13.63575537,2.314862756,0.245709291,9.421144589,4.46E-21,7.56E-21
SLC36A1,14.49216438,2.315640427,0.232155031,9.974543377,1.97E-23,3.48E-23
FAT2,67.59974297,4.663865037,0.265815807,17.54547667,6.44E-69,2.42E-68
SPARC,2.936571887,-2.793101605,0.11999328,-23.27715017,7.56E-120,5.57E-119
ATOX1,13.20406519,1.165011741,0.247444537,4.708173218,2.50E-06,3.15E-06
G3BP1,75.8323427,4.425339081,0.196950109,22.46934063,8.28E-112,5.58E-111
GRIA1,10.75259177,1.878150518,0.230017559,8.165248447,3.21E-16,4.97E-16
FAM114A2,18.78617917,2.74652482,0.259491669,10.58425047,3.53E-26,6.53E-26
MFAP3,119.9047785,5.462525949,0.218158012,25.03930938,2.28E-138,2.12E-137
GALNT10,40.14816805,3.819356709,0.256051363,14.91636936,2.58E-50,7.16E-50
SAP30L-AS1,23.36181799,3.088586193,0.226510297,13.63552227,2.46E-42,5.93E-42
SAP30L,11.46946215,2.000345804,0.23319087,8.578148053,9.64E-18,1.53E-17
FAXDC2,64.38913985,4.581649953,0.22290864,20.55393613,7.10E-94,3.81E-93
CNOT8,31.32046188,3.477877132,0.254366052,13.67272521,1.48E-42,3.57E-42
GEMIN5,14.67853749,2.390247981,0.246254092,9.706429473,2.83E-22,4.90E-22
MRPL22,213.8333713,6.076927054,0.173209506,35.08425832,1.17E-269,3.35E-268
KIF4B,162.0245066,5.930931846,0.191598743,30.95496222,2.18E-210,3.93E-209
